GameId, Board, PlayersHands, MoveNumber, CurrentPlayer-937136906,com.gameEngine.Board@79fc0f2f,;,0,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|8 red|12 red|4 black|9 blue|8 red|4 yellow|5 black|1 red|2 red|9 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 black|8 blue|10 red|11 black|1 yellow|13 black|8 yellow|9;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7 black|2 yellow|10,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|12 red|4 red|4 yellow|5 black|1 red|2 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 blue|10 red|11 black|1 yellow|13 black|8 blue|6;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7 black|2 yellow|10,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|12 red|4 red|4 yellow|5 black|1 red|2 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 blue|10 red|11 black|1 yellow|13 black|8 blue|6;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7 black|2 yellow|10 red|12,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|12 red|4 red|4 yellow|5 black|1 red|2 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 blue|10 red|11 black|1 yellow|13 black|8 blue|6 black|7;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7 black|2 yellow|10 red|12,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|12 red|4 red|4 yellow|5 black|1 red|2 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 blue|10 red|11 black|1 yellow|13 black|8 blue|6 black|7;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7 black|2 yellow|10 red|12 red|13,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|12 red|4 red|4 yellow|5 black|1 red|2 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 blue|10 red|11 black|1 yellow|13 black|8 blue|6 black|7 yellow|11;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7 black|2 yellow|10 red|12 red|13,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|12 red|4 red|4 yellow|5 black|1 red|2 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 blue|10 red|11 black|1 yellow|13 black|8 blue|6 black|7 yellow|11;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7 black|2 yellow|10 red|12 red|13 yellow|12,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|12 red|4 red|4 yellow|5 black|1 red|2 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 blue|10 red|11 black|1 yellow|13 black|8 blue|6 black|7 yellow|11 black|4;blue|3 blue|13 yellow|1 black|12 blue|8 blue|11 red|9 red|5 blue|9 red|10 yellow|2 blue|7 black|2 yellow|10 red|12 red|13 yellow|12,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|12 red|4 red|4 yellow|5 black|1 red|2 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 blue|10 red|11 black|1 yellow|13 black|8 blue|6 black|7 yellow|11 black|4;blue|3 blue|13 yellow|1 blue|11 red|9 red|5 red|10 yellow|2 black|2 yellow|10 red|13 black|3,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|12 red|4 red|4 yellow|5 black|1 red|2 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 blue|10 red|11 black|1 yellow|13 black|8 blue|6 black|7 yellow|11 black|4 blue|5;blue|3 blue|13 yellow|1 blue|11 red|9 red|5 red|10 yellow|2 black|2 yellow|10 red|13 black|3,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|12 red|4 red|4 yellow|5 black|1 red|2 yellow|8 yellow|7 blue|12 red|1 yellow|3 yellow|2 blue|10 red|11 black|1 yellow|13 black|8 blue|6 black|7 yellow|11 black|4 blue|5;blue|3 blue|13 yellow|1 blue|11 red|9 red|5 red|10 yellow|2 black|2 yellow|10 red|13 black|3 black|10,1,1
